# tracer: function_graph
#
#     TIME         TASK/PID         DURATION                  FUNCTION CALLS
#      |            |    |           |   |                     |   |   |   |
5640901.755792 |    squid-920    |               |                  _raw_spin_unlock_bh() {
5640901.755793 |    squid-920    |   0.100 us    |                    __local_bh_enable_ip();
5640901.755793 |    squid-920    |   0.722 us    |                  } /* _raw_spin_unlock_bh */
5640901.755794 |    squid-920    |   2.747 us    |                } /* release_sock */
5640901.755794 |    squid-920    |   58.957 us   |              } /* tcp_recvmsg */
5640901.755794 |    squid-920    |   59.619 us   |            } /* inet_recvmsg */
5640901.755794 |    squid-920    |   63.935 us   |          } /* sock_recvmsg */
5640901.755795 |    squid-920    |   64.597 us   |        } /* sock_read_iter */
5640901.755795 |    squid-920    |   65.303 us   |      } /* new_sync_read */
5640901.755795 |    squid-920    |   65.955 us   |    } /* __vfs_read */
5640901.755796 |    squid-920    |   0.090 us    |    __fsnotify_parent();
5640901.755796 |    squid-920    |   0.100 us    |    fsnotify();
5640901.755797 |    squid-920    |   72.682 us   |  } /* vfs_read */
 ------------------------------------------
 0)   squid-920    =>   sshd-8241   
 ------------------------------------------

5640901.756592 |    sshd-8241    |               |  vfs_read() {
5640901.756593 |    sshd-8241    |               |    rw_verify_area() {
5640901.756593 |    sshd-8241    |               |      security_file_permission() {
5640901.756594 |    sshd-8241    |               |        apparmor_file_permission() {
5640901.756594 |    sshd-8241    |               |          common_file_perm() {
5640901.756595 |    sshd-8241    |   0.265 us    |            aa_file_perm();
5640901.756596 |    sshd-8241    |   1.253 us    |          } /* common_file_perm */
5640901.756596 |    sshd-8241    |   2.000 us    |        } /* apparmor_file_permission */
5640901.756596 |    sshd-8241    |   2.737 us    |      } /* security_file_permission */
5640901.756597 |    sshd-8241    |   3.564 us    |    } /* rw_verify_area */
5640901.756597 |    sshd-8241    |               |    __vfs_read() {
5640901.756598 |    sshd-8241    |               |      tty_read() {
5640901.756598 |    sshd-8241    |   0.100 us    |        tty_paranoia_check();
5640901.756599 |    sshd-8241    |               |        tty_ldisc_ref_wait() {
5640901.756599 |    sshd-8241    |               |          ldsem_down_read() {
5640901.756599 |    sshd-8241    |   0.095 us    |            _cond_resched();
5640901.756600 |    sshd-8241    |   0.742 us    |          } /* ldsem_down_read */
5640901.756601 |    sshd-8241    |   1.489 us    |        } /* tty_ldisc_ref_wait */
5640901.756601 |    sshd-8241    |               |        n_tty_read() {
5640901.756601 |    sshd-8241    |   0.226 us    |          __tty_check_change();
5640901.756602 |    sshd-8241    |   0.121 us    |          mutex_trylock();
5640901.756603 |    sshd-8241    |               |          down_read() {
5640901.756603 |    sshd-8241    |   0.090 us    |            _cond_resched();
5640901.756604 |    sshd-8241    |   0.897 us    |          } /* down_read */
5640901.756605 |    sshd-8241    |               |          add_wait_queue() {
5640901.756605 |    sshd-8241    |   0.110 us    |            _raw_spin_lock_irqsave();
5640901.756606 |    sshd-8241    |   0.100 us    |            _raw_spin_unlock_irqrestore();
5640901.756606 |    sshd-8241    |   1.549 us    |          } /* add_wait_queue */
5640901.756607 |    sshd-8241    |               |          copy_from_read_buf() {
5640901.756607 |    sshd-8241    |               |            __check_object_size() {
5640901.756607 |    sshd-8241    |   0.115 us    |              __virt_addr_valid();
5640901.756608 |    sshd-8241    |   0.100 us    |              check_stack_object();
5640901.756609 |    sshd-8241    |   1.454 us    |            } /* __check_object_size */
5640901.756609 |    sshd-8241    |   0.166 us    |            __copy_user_ll();
5640901.756610 |    sshd-8241    |   0.291 us    |            tty_audit_add_data();
5640901.756611 |    sshd-8241    |   3.800 us    |          } /* copy_from_read_buf */
